date,suhu,kelembaban_tanah,tanaman_optimal
25/08/2021 1:00:00,36,28,KURANG OPTIMAL
25/08/2021 2:00:00,35,28,KURANG OPTIMAL
25/08/2021 3:00:00,33,28,KURANG OPTIMAL
25/08/2021 4:00:00,31,28,KURANG OPTIMAL
25/08/2021 5:00:00,29,28,KURANG OPTIMAL
25/08/2021 6:00:00,28,28,KURANG OPTIMAL
25/08/2021 7:00:00,27,28,KURANG OPTIMAL
25/08/2021 8:00:00,27,28,KURANG OPTIMAL
25/08/2021 9:00:00,27,28,KURANG OPTIMAL
25/08/2021 10:00:00,27,28,KURANG OPTIMAL
25/08/2021 11:00:00,29,28,KURANG OPTIMAL
25/08/2021 12:00:00,29,28,KURANG OPTIMAL
25/08/2021 13:00:00,29,28,KURANG OPTIMAL
25/08/2021 14:00:00,29,28,KURANG OPTIMAL
25/08/2021 15:00:00,29,28,KURANG OPTIMAL
25/08/2021 16:00:00,29,28,KURANG OPTIMAL
25/08/2021 17:00:00,29,28,KURANG OPTIMAL
25/08/2021 18:00:00,29,28,KURANG OPTIMAL
25/08/2021 19:00:00,29,28,KURANG OPTIMAL
25/08/2021 20:00:00,29,28,KURANG OPTIMAL
25/08/2021 21:00:00,29,28,KURANG OPTIMAL
25/08/2021 22:00:00,29,28,KURANG OPTIMAL
25/08/2021 23:00:00,29,28,KURANG OPTIMAL
26/08/2021 0:00:00,26,28,KURANG OPTIMAL
26/08/2021 1:00:00,26,28,KURANG OPTIMAL
26/08/2021 2:00:00,26,28,KURANG OPTIMAL
26/08/2021 3:00:00,25,28,KURANG OPTIMAL
26/08/2021 4:00:00,25,28,KURANG OPTIMAL
26/08/2021 5:00:00,25,28,KURANG OPTIMAL
26/08/2021 6:00:00,26,28,KURANG OPTIMAL
26/08/2021 7:00:00,39,28,KURANG OPTIMAL
26/08/2021 8:00:00,45,28,KURANG OPTIMAL
26/08/2021 9:00:00,45,28,KURANG OPTIMAL
26/08/2021 10:00:00,41,28,KURANG OPTIMAL
26/08/2021 11:00:00,38,28,KURANG OPTIMAL
26/08/2021 12:00:00,37,28,KURANG OPTIMAL
26/08/2021 13:00:00,37,28,KURANG OPTIMAL
26/08/2021 14:00:00,37,28,KURANG OPTIMAL
26/08/2021 15:00:00,36,28,KURANG OPTIMAL
26/08/2021 16:00:00,34,28,KURANG OPTIMAL
26/08/2021 17:00:00,32,28,KURANG OPTIMAL
26/08/2021 18:00:00,29,28,KURANG OPTIMAL
26/08/2021 19:00:00,29,28,KURANG OPTIMAL
26/08/2021 20:00:00,28,28,KURANG OPTIMAL
26/08/2021 21:00:00,28,28,KURANG OPTIMAL
26/08/2021 22:00:00,28,28,KURANG OPTIMAL
26/08/2021 23:00:00,27,28,KURANG OPTIMAL
27/08/2021 0:00:00,27,28,KURANG OPTIMAL
27/08/2021 1:00:00,26,28,KURANG OPTIMAL
27/08/2021 2:00:00,26,28,KURANG OPTIMAL
27/08/2021 3:00:00,27,28,KURANG OPTIMAL
27/08/2021 4:00:00,27,28,KURANG OPTIMAL
27/08/2021 5:00:00,26,28,KURANG OPTIMAL
27/08/2021 6:00:00,27,28,KURANG OPTIMAL
27/08/2021 7:00:00,31,28,KURANG OPTIMAL
27/08/2021 8:00:00,27,28,KURANG OPTIMAL
27/08/2021 9:00:00,27,28,KURANG OPTIMAL
27/08/2021 10:00:00,27,28,KURANG OPTIMAL
27/08/2021 11:00:00,27,28,KURANG OPTIMAL
27/08/2021 12:00:00,27,28,KURANG OPTIMAL
27/08/2021 13:00:00,27,28,KURANG OPTIMAL
27/08/2021 14:00:00,27,28,KURANG OPTIMAL
27/08/2021 15:00:00,27,28,KURANG OPTIMAL
27/08/2021 16:00:00,27,28,KURANG OPTIMAL
27/08/2021 17:00:00,27,28,KURANG OPTIMAL
27/08/2021 18:00:00,27,28,KURANG OPTIMAL
27/08/2021 19:00:00,27,28,KURANG OPTIMAL
27/08/2021 20:00:00,27,28,KURANG OPTIMAL
27/08/2021 21:00:00,27,28,KURANG OPTIMAL
27/08/2021 22:00:00,27,28,KURANG OPTIMAL
27/08/2021 23:00:00,27,28,KURANG OPTIMAL
28/08/2021 0:00:00,27,28,KURANG OPTIMAL
28/08/2021 1:00:00,27,28,KURANG OPTIMAL
28/08/2021 2:00:00,27,28,KURANG OPTIMAL
28/08/2021 4:00:00,27,28,KURANG OPTIMAL
28/08/2021 5:00:00,27,28,KURANG OPTIMAL
28/08/2021 6:00:00,27,28,KURANG OPTIMAL
28/08/2021 7:00:00,27,28,KURANG OPTIMAL
28/08/2021 8:00:00,27,28,KURANG OPTIMAL
28/08/2021 9:00:00,27,28,KURANG OPTIMAL
28/08/2021 10:00:00,27,28,KURANG OPTIMAL
28/08/2021 11:00:00,27,28,KURANG OPTIMAL
28/08/2021 12:00:00,27,28,KURANG OPTIMAL
28/08/2021 13:00:00,27,28,KURANG OPTIMAL
28/08/2021 14:00:00,27,28,KURANG OPTIMAL
28/08/2021 15:00:00,27,28,KURANG OPTIMAL
28/08/2021 16:00:00,27,28,KURANG OPTIMAL
28/08/2021 17:00:00,27,28,KURANG OPTIMAL
28/08/2021 18:00:00,27,28,KURANG OPTIMAL
28/08/2021 19:00:00,27,28,KURANG OPTIMAL
28/08/2021 20:00:00,27,28,KURANG OPTIMAL
28/08/2021 21:00:00,27,28,KURANG OPTIMAL
28/08/2021 22:00:00,27,28,KURANG OPTIMAL
28/08/2021 23:00:00,27,28,KURANG OPTIMAL
29/08/2021 0:00:00,27,28,KURANG OPTIMAL
29/08/2021 1:00:00,27,28,KURANG OPTIMAL
29/08/2021 2:00:00,27,28,KURANG OPTIMAL
29/08/2021 3:00:00,27,28,KURANG OPTIMAL
29/08/2021 5:00:00,27,28,KURANG OPTIMAL
29/08/2021 6:00:00,27,28,KURANG OPTIMAL
29/08/2021 7:00:00,27,28,KURANG OPTIMAL
29/08/2021 8:00:00,27,28,KURANG OPTIMAL
29/08/2021 9:00:00,27,28,KURANG OPTIMAL
29/08/2021 10:00:00,27,28,KURANG OPTIMAL
29/08/2021 11:00:00,27,28,KURANG OPTIMAL
29/08/2021 12:00:00,27,28,KURANG OPTIMAL
29/08/2021 13:00:00,27,28,KURANG OPTIMAL
29/08/2021 14:00:00,27,28,KURANG OPTIMAL
29/08/2021 15:00:00,27,28,KURANG OPTIMAL
29/08/2021 16:00:00,27,28,KURANG OPTIMAL
29/08/2021 17:00:00,27,28,KURANG OPTIMAL
29/08/2021 18:00:00,27,28,KURANG OPTIMAL
29/08/2021 19:00:00,27,28,KURANG OPTIMAL
29/08/2021 20:00:00,27,28,KURANG OPTIMAL
29/08/2021 21:00:00,27,28,KURANG OPTIMAL
29/08/2021 22:00:00,27,28,KURANG OPTIMAL
29/08/2021 23:00:00,27,28,KURANG OPTIMAL
30/08/2021 0:00:00,27,28,KURANG OPTIMAL
30/08/2021 1:00:00,27,28,KURANG OPTIMAL
30/08/2021 2:00:00,27,28,KURANG OPTIMAL
30/08/2021 3:00:00,27,28,KURANG OPTIMAL
30/08/2021 4:00:00,27,28,KURANG OPTIMAL
30/08/2021 6:00:00,27,28,KURANG OPTIMAL
30/08/2021 7:00:00,27,28,KURANG OPTIMAL
30/08/2021 8:00:00,27,28,KURANG OPTIMAL
30/08/2021 9:00:00,27,28,KURANG OPTIMAL
30/08/2021 10:00:00,27,28,KURANG OPTIMAL
30/08/2021 11:00:00,27,28,KURANG OPTIMAL
30/08/2021 12:00:00,27,28,KURANG OPTIMAL
30/08/2021 13:00:00,27,28,KURANG OPTIMAL
30/08/2021 14:00:00,27,28,KURANG OPTIMAL
30/08/2021 15:00:00,27,28,KURANG OPTIMAL
30/08/2021 16:00:00,27,28,KURANG OPTIMAL
30/08/2021 17:00:00,27,28,KURANG OPTIMAL
30/08/2021 18:00:00,27,28,KURANG OPTIMAL
30/08/2021 19:00:00,27,28,KURANG OPTIMAL
30/08/2021 20:00:00,27,28,KURANG OPTIMAL
30/08/2021 21:00:00,27,28,KURANG OPTIMAL
30/08/2021 22:00:00,27,28,KURANG OPTIMAL
30/08/2021 23:00:00,27,28,KURANG OPTIMAL
31/08/2021 0:00:00,27,28,KURANG OPTIMAL
31/08/2021 1:00:00,27,28,KURANG OPTIMAL
31/08/2021 2:00:00,27,28,KURANG OPTIMAL
31/08/2021 3:00:00,27,28,KURANG OPTIMAL
31/08/2021 4:00:00,27,28,KURANG OPTIMAL
31/08/2021 5:00:00,27,28,KURANG OPTIMAL
31/08/2021 7:00:00,27,28,KURANG OPTIMAL
31/08/2021 8:00:00,27,28,KURANG OPTIMAL
31/08/2021 9:00:00,27,28,KURANG OPTIMAL
31/08/2021 10:00:00,27,28,KURANG OPTIMAL
31/08/2021 11:00:00,27,28,KURANG OPTIMAL
31/08/2021 12:00:00,27,28,KURANG OPTIMAL
31/08/2021 13:00:00,27,28,KURANG OPTIMAL
31/08/2021 14:00:00,27,28,KURANG OPTIMAL
31/08/2021 15:00:00,27,28,KURANG OPTIMAL
31/08/2021 16:00:00,27,28,KURANG OPTIMAL
31/08/2021 17:00:00,27,28,KURANG OPTIMAL
31/08/2021 18:00:00,27,28,KURANG OPTIMAL
31/08/2021 19:00:00,27,28,KURANG OPTIMAL
31/08/2021 20:00:00,27,28,KURANG OPTIMAL
31/08/2021 21:00:00,27,28,KURANG OPTIMAL
31/08/2021 22:00:00,27,28,KURANG OPTIMAL
31/08/2021 23:00:00,27,28,KURANG OPTIMAL
1/9/2021 0:00,30,12,KURANG OPTIMAL
1/9/2021 1:00,30,12,KURANG OPTIMAL
1/9/2021 2:00,30,12,KURANG OPTIMAL
1/9/2021 3:00,30,12,KURANG OPTIMAL
1/9/2021 4:00,30,12,KURANG OPTIMAL
1/9/2021 5:00,30,12,KURANG OPTIMAL
1/9/2021 6:00,30,12,KURANG OPTIMAL
1/9/2021 7:00,30,12,KURANG OPTIMAL
1/9/2021 8:00,30,12,KURANG OPTIMAL
1/9/2021 9:00,30,12,KURANG OPTIMAL
1/9/2021 10:00,30,12,KURANG OPTIMAL
1/9/2021 11:00,30,12,KURANG OPTIMAL
1/9/2021 12:00,30,12,KURANG OPTIMAL
1/9/2021 13:00,30,12,KURANG OPTIMAL
1/9/2021 14:00,30,12,KURANG OPTIMAL
1/9/2021 15:00,30,12,KURANG OPTIMAL
1/9/2021 16:00,30,12,KURANG OPTIMAL
1/9/2021 17:00,30,12,KURANG OPTIMAL
1/9/2021 18:00,30,12,KURANG OPTIMAL
1/9/2021 19:00,30,12,KURANG OPTIMAL
1/9/2021 20:00,30,12,KURANG OPTIMAL
1/9/2021 21:00,30,12,KURANG OPTIMAL
1/9/2021 22:00,30,12,KURANG OPTIMAL
1/9/2021 23:00,30,12,KURANG OPTIMAL
2/9/2021 0:00,30,12,KURANG OPTIMAL
2/9/2021 1:00,30,12,KURANG OPTIMAL
2/9/2021 2:00,30,12,KURANG OPTIMAL
2/9/2021 3:00,30,12,KURANG OPTIMAL
2/9/2021 4:00,30,12,KURANG OPTIMAL
2/9/2021 5:00,30,12,KURANG OPTIMAL
2/9/2021 6:00,30,12,KURANG OPTIMAL
2/9/2021 7:00,30,12,KURANG OPTIMAL
2/9/2021 8:00,30,12,KURANG OPTIMAL
2/9/2021 9:00,30,12,KURANG OPTIMAL
2/9/2021 10:00,30,12,KURANG OPTIMAL
2/9/2021 11:00,30,12,KURANG OPTIMAL
2/9/2021 12:00,30,12,KURANG OPTIMAL
2/9/2021 13:00,30,12,KURANG OPTIMAL
2/9/2021 14:00,30,12,KURANG OPTIMAL
2/9/2021 15:00,30,12,KURANG OPTIMAL
2/9/2021 16:00,30,12,KURANG OPTIMAL
2/9/2021 17:00,30,12,KURANG OPTIMAL
2/9/2021 18:00,30,12,KURANG OPTIMAL
2/9/2021 19:00,30,12,KURANG OPTIMAL
2/9/2021 20:00,30,12,KURANG OPTIMAL
2/9/2021 21:00,30,12,KURANG OPTIMAL
2/9/2021 22:00,30,12,KURANG OPTIMAL
2/9/2021 23:00,30,12,KURANG OPTIMAL
3/9/2021 0:00,30,12,KURANG OPTIMAL
3/9/2021 1:00,30,12,KURANG OPTIMAL
3/9/2021 2:00,30,12,KURANG OPTIMAL
3/9/2021 3:00,30,12,KURANG OPTIMAL
3/9/2021 4:00,30,12,KURANG OPTIMAL
3/9/2021 5:00,30,12,KURANG OPTIMAL
3/9/2021 6:00,30,12,KURANG OPTIMAL
3/9/2021 7:00,30,12,KURANG OPTIMAL
3/9/2021 8:00,30,12,KURANG OPTIMAL
3/9/2021 9:00,30,12,KURANG OPTIMAL
3/9/2021 10:00,30,12,KURANG OPTIMAL
3/9/2021 11:00,30,12,KURANG OPTIMAL
3/9/2021 12:00,30,12,KURANG OPTIMAL
3/9/2021 13:00,30,12,KURANG OPTIMAL
3/9/2021 14:00,30,12,KURANG OPTIMAL
3/9/2021 15:00,30,12,KURANG OPTIMAL
3/9/2021 16:00,30,12,KURANG OPTIMAL
3/9/2021 17:00,30,12,KURANG OPTIMAL
3/9/2021 18:00,30,12,KURANG OPTIMAL
3/9/2021 19:00,30,12,KURANG OPTIMAL
3/9/2021 20:00,30,12,KURANG OPTIMAL
3/9/2021 21:00,30,12,KURANG OPTIMAL
3/9/2021 22:00,30,12,KURANG OPTIMAL
3/9/2021 23:00,30,12,KURANG OPTIMAL
4/9/2021 0:00,30,12,KURANG OPTIMAL
4/9/2021 1:00,30,12,KURANG OPTIMAL
4/9/2021 2:00,30,12,KURANG OPTIMAL
4/9/2021 3:00,30,12,KURANG OPTIMAL
4/9/2021 4:00,30,12,KURANG OPTIMAL
4/9/2021 5:00,30,12,KURANG OPTIMAL
4/9/2021 6:00,30,12,KURANG OPTIMAL
4/9/2021 7:00,30,12,KURANG OPTIMAL
4/9/2021 8:00,30,12,KURANG OPTIMAL
4/9/2021 9:00,30,12,KURANG OPTIMAL
4/9/2021 10:00,30,12,KURANG OPTIMAL
4/9/2021 11:00,30,12,KURANG OPTIMAL
4/9/2021 12:00,30,12,KURANG OPTIMAL
